content, label
kita menghadapi tantangan yang tidak kecil dalam beberapa tahun terakhir ini lebih dari 160.000 orang meninggal bukan karena serangan militer tapi karena serangan virus HP kita. komputer kita diserang oleh cyber attack lebih 800 juta cyber attack perdagangan manusia perdagangan anak Bagaimana perempuan anak-anak menjadi korban lebih dari 3000 orang dan narkoba menyerbu Indonesia 4.8 juta orang terpapar narkoba keluarga-keluarga kita menderita karena narkoba ini dan itu pedih sekali, 2 
itu tingkat keluarga pencurian ikan pencurian pas itu menandakan bahwa kita kebobolan dan lebih jauh lagi ironisnya Kementerian Pertahanan menjadi Kementerian yang dibobol oleh hacker 2023 sebuah Ironi, 2
karena itu kita ingin mengembalikan dan 700 triliun anggaran Kementerian Pertahanan tidak bisa mempertahankan itu justru digunakan untuk membeli alat-alat alutsista ( Alat Utama Sistem Senjata Tentara Nasional Indonesia) yang bekas di saat tentara kita lebih dari Separuh tidak memiliki rumah dinas, 2
sementara menterinya punya menurut  Pak Jokowi punya lebih dari 340 hektar tanah di Republik ini ini harus diubah tambah lagi food Estate singkong yang menguntungkan kroni merusak lingkungan dan tidak menghasilkan ini harus diubah, 2
lalu memastikan bahwa ada perluasan wajib pajak yang harapannya nanti akan memperkuat juga GDP kita di samping mengurangi kebocoran pajak dan hutang-hutang yang kita gunakan untuk aktivitas produktif jangan hutang itu digunakan untuk kegiatan yang nonproduktif misalnya hutang dipakai untuk membeli valuta bekas oleh Kementerian Pertahanan, 2
tapi Pak Anies Saya kira Pak AniEs perlu belajar ekonomi lagi ya kan jadi kalau bilang ideal 30% dasarnya apa? yang di bawah kita itu Arab Saudi Rusia pokoknya negara-negara yang punya sumber alam yang luar biasa, 2
pertanyaannya Bagaimana strategi paslon mempromosikan budaya populer Nusantara untuk mendukung pertumbuhan ekonomi nasional waktu Bapak menjawab 2 menit, 1
kembali kalau dikatakan negara yang harus berperan kuncinya adalah bahwa kita ini harus punya dana yang cukup kita harus punya tabungan yang cukup kita harus punya Sovereign wealth fund yang cukup, 1
untuk itu kita harus punya laba yang cukup kita harus punya neraca perdagangan yang positif kita harus punya tabungan yang banyak dan untuk itu hanya bisa dilakukan dengan hilirisasi dengan penghematan dengan efisiensi dengan penerimaan pajak yang baik dan yang efisien, 1
kami akan memulai dengan kepemimpinan yang menjunjung tinggi etika kepemimpinan yang mengandalkan data informasi kapasitas yang serius, 0
tujuan nasional yang tercantum dalam undang-undang dasar kita dalam Pembukaan Undang Dasar 1940 terima tercantum sangat tegas bahwa tujuan nasional kita yang pertama adalah melindungi segenap bangsa Indonesia dan seluruh tumpah darah Indonesia, 0
jadi fungsi dari negara yang pertama adalah melindungi berarti pertahanan saudara-saudara kita memahami negara kita sangat besar sangat kaya ratusan tahun negara-negara dari jauh datang ke nusantara ini, 0
presiden menjadi Panglima diplomasi Indonesia bukan hanya hadir dalam forum forum tapi hadir mewarnai hadir serius memperjuangkan amanat termasuk amanat terpenting menghapuskan penjajahan di muka bumi bukan sekedar statement dalam upacara tapi presiden dan seluruh jajaran diplomasi bekerja keras untuk itu khususnya untuk Palestina tapi dalam kenyataannya kita bicara tentang pertahanan di sisi lain kita menghadapi tantangan yang tidak kecil, 0
